# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	387
#@/user_id	e3e89c7d-ca71-4fde-a976-09d0756b60c7
an xia 	按下	c=2 d=1.64816 t=387
an zhuang 	安装	c=1 d=0.891366 t=387
an zhuang hao 	安装好	c=1 d=0.937067 t=387
ba 	把	c=3 d=2.19086 t=387
ban fa 	办法	c=1 d=0.814647 t=387
bao 	包	c=3 d=2.84622 t=387
bei 	呗	c=1 d=1 t=384
bei fen 	备份	c=0 d=0.067032 t=387
bei fen cang ku 	备份仓库	c=1 d=0.67368 t=387
bi ru 	比如	c=1 d=0.946485 t=387
bie de 	别的	c=1 d=1 t=371
bing qie 	并且	c=1 d=0.778801 t=387
cai hui 	才会	c=1 d=0.995012 t=387
cang ku 	仓库	c=1 d=0.965605 t=387
cang ku li 	仓库里	c=1 d=0.88692 t=387
cao zuo 	操作	c=1 d=1 t=381
cha kan 	查看	c=2 d=1.67535 t=387
chu 	除	c=1 d=0.71177 t=387
chuang jian 	创建	c=2 d=1.94111 t=387
chuang kou 	窗口	c=6 d=4.7838 t=387
ci shi 	此时	c=1 d=0.927743 t=387
dan shi 	但是	c=1 d=0.99005 t=387
dan yuan 	单元	c=0 d=0.0985112 t=387
dan yuan wen jian 	单元文件	c=1 d=0.99005 t=387
dang qian 	当前	c=3 d=1.94421 t=387
dang qian de 	当前的	c=1 d=0.965605 t=387
dao chu 	导出	c=1 d=0.913931 t=387
de 	地	c=1 d=0.909373 t=387
de 	的	c=17 d=8.9061 t=387
di 	底	c=0 d=0.0932394 t=387
di gui 	递归	c=1 d=0.927743 t=387
dian 	点	c=1 d=0.683861 t=387
diao 	掉	c=1 d=0.847894 t=387
duo xian cheng 	多线程	c=1 d=0.99005 t=387
e 	额	c=1 d=0.946485 t=387
en 	嗯	c=1 d=0.767206 t=387
er 	而	c=1 d=0.860708 t=387
fan er 	反而	c=1 d=0.740818 t=387
fang an 	方案	c=1 d=1 t=379
fang fa 	方法	c=1 d=0.873716 t=387
fen bie 	分别	c=1 d=0.99005 t=387
fen san 	分散	c=0 d=0.0763379 t=387
fen san de 	分散的	c=1 d=0.767206 t=387
fu gai le 	覆盖了	c=1 d=0.755784 t=387
gai le 	改了	c=1 d=0.985112 t=387
ge 	个	c=1 d=0.895834 t=387
gei wo 	给我	c=1 d=1 t=377
geng fang bian 	更方便	c=1 d=1 t=373
gong ju 	工具	c=2 d=1.67156 t=387
gong neng 	功能	c=1 d=0.941765 t=387
gong neng shi 	功能室	c=1 d=0.839457 t=387
gou cheng 	构成	c=1 d=0.733447 t=387
guan li 	管理	c=2 d=1.73594 t=387
guan li de 	管理的	c=1 d=0.955997 t=387
guan li jie gou 	管理结构	c=1 d=0.786628 t=387
guo lv 	过滤	c=0 d=0.0798516 t=387
guo lv nei rong 	过滤内容	c=1 d=0.802519 t=387
hai shi shuo 	还是说	c=1 d=0.927743 t=387
hai you 	还有	c=1 d=0.937067 t=387
han yi 	含义	c=1 d=1 t=383
he 	和	c=2 d=1.78996 t=387
hen 	很	c=1 d=0.980199 t=387
hen man 	很慢	c=1 d=0.985112 t=387
hou 	后	c=3 d=2.3641 t=387
huo 	或	c=2 d=1.72048 t=387
huo zhe 	或者	c=1 d=0.729789 t=387
ji 	及	c=1 d=0.995012 t=387
ji qi 	及其	c=1 d=0.965605 t=387
ji qi shang 	机器上	c=1 d=0.694197 t=387
ji xu rang 	继续让	c=1 d=0.891366 t=387
jia 	夹	c=1 d=0.806541 t=387
jia su 	加速	c=2 d=1.76985 t=387
jian ce yi xia 	检测一下	c=1 d=0.909373 t=387
jian cha 	检查	c=2 d=1.69598 t=387
jian li 	建立	c=1 d=0.782705 t=387
jiang 	将	c=1 d=0.763379 t=387
jiao ben 	脚本	c=3 d=2.15562 t=387
jie guo 	结果	c=1 d=0.895834 t=387
